Date,KTB_1Y,KTB_2Y,KTB_3Y,KTB_5Y,KTB_10Y,KTB_20Y,KTB_30Y,KTB_50Y,NHB_5Y,MSB_1Y,MSB_2Y,MSB_91D,KEPCO_3Y,KDB_1Y,CORP_AA_3Y,CORP_BBB_3Y,CD_91D,CP_91D
2021-03-02,0.671,,1.021,1.45,1.966,2.075,2.078,2.078,1.571,0.677,0.863,0.497,1.168,0.802,2.054,8.433,0.74,1.0
2021-03-03,0.669,,1.019,1.423,1.951,2.068,2.074,2.074,1.549,0.676,0.86,0.497,1.167,0.801,2.051,8.43,0.74,1.0
2021-03-04,0.672,,1.03,1.422,1.972,2.086,2.092,2.091,1.55,0.677,0.867,0.498,1.171,0.802,2.058,8.437,0.74,1.0
2021-03-05,0.679,,1.066,1.438,1.992,2.115,2.12,2.119,1.568,0.677,0.886,0.498,1.195,0.802,2.08,8.461,0.74,1.0
2021-03-06,0.679,,1.066,1.438,1.992,2.115,2.12,2.119,1.568,0.677,0.886,0.498,1.195,0.802,2.08,8.461,0.74,1.0
2021-03-07,0.679,,1.066,1.438,1.992,2.115,2.12,2.119,1.568,0.677,0.886,0.498,1.195,0.802,2.08,8.461,0.74,1.0
2021-03-08,0.687,,1.139,1.497,2.028,2.118,2.124,2.124,1.615,0.698,0.935,0.501,1.252,0.81,2.117,8.494,0.74,1.0
2021-03-09,0.695,,1.206,1.592,2.034,2.115,2.113,2.114,1.694,0.709,0.986,0.506,1.32,0.826,2.159,8.547,0.75,1.0
2021-03-10,0.689,1.013,1.182,1.566,2.036,2.119,2.118,2.118,1.675,0.704,0.953,0.5,1.302,0.824,2.134,8.507,0.75,1.0
2021-03-11,0.684,0.985,1.179,1.525,2.027,2.108,2.103,2.103,1.642,0.7,0.929,0.5,1.3,0.825,2.123,8.495,0.75,1.0
2021-03-12,0.688,0.99,1.223,1.596,2.092,2.164,2.16,2.16,1.697,0.709,0.932,0.504,1.335,0.834,2.149,8.523,0.75,1.0
2021-03-13,0.688,0.99,1.223,1.596,2.092,2.164,2.16,2.16,1.697,0.709,0.932,0.504,1.335,0.834,2.149,8.523,0.75,1.0
2021-03-14,0.688,0.99,1.223,1.596,2.092,2.164,2.16,2.16,1.697,0.709,0.932,0.504,1.335,0.834,2.149,8.523,0.75,1.0
2021-03-15,0.691,0.983,1.238,1.621,2.152,2.19,2.187,2.187,1.734,0.712,0.932,0.505,1.349,0.844,2.153,8.53,0.75,1.0
2021-03-16,0.685,0.904,1.177,1.602,2.098,2.158,2.151,2.152,1.722,0.698,0.881,0.5,1.326,0.845,2.114,8.491,0.75,1.0
2021-03-17,0.686,0.886,1.177,1.639,2.134,2.181,2.166,2.166,1.754,0.689,0.869,0.501,1.332,0.843,2.115,8.494,0.75,1.0
2021-03-18,0.682,0.875,1.133,1.63,2.15,2.153,2.136,2.137,1.753,0.672,0.86,0.499,1.305,0.835,2.083,8.443,0.75,1.0
2021-03-19,0.687,0.894,1.146,1.578,2.099,2.106,2.084,2.086,1.751,0.673,0.879,0.502,1.318,0.837,2.092,8.45,0.75,1.0
2021-03-20,0.687,0.894,1.146,1.578,2.099,2.106,2.084,2.086,1.751,0.673,0.879,0.502,1.318,0.837,2.092,8.45,0.75,1.0
2021-03-21,0.687,0.894,1.146,1.578,2.099,2.106,2.084,2.086,1.751,0.673,0.879,0.502,1.318,0.837,2.092,8.45,0.75,1.0
2021-03-22,0.686,0.922,1.13,1.615,2.057,2.08,2.057,2.059,1.771,0.664,0.886,0.502,1.315,0.837,2.079,8.434,0.75,1.0
2021-03-23,0.687,0.928,1.132,1.586,2.032,2.072,2.05,2.052,1.762,0.662,0.904,0.501,1.313,0.838,2.076,8.431,0.75,1.0
2021-03-24,0.682,0.93,1.115,1.537,1.992,2.045,2.015,2.016,1.711,0.659,0.91,0.5,1.297,0.83,2.059,8.417,0.75,1.0
2021-03-25,0.681,0.908,1.089,1.509,1.967,2.062,2.032,2.033,1.696,0.659,0.909,0.5,1.281,0.83,2.045,8.402,0.75,1.0
2021-03-26,0.684,0.917,1.117,1.532,2.005,2.078,2.055,2.056,1.702,0.664,0.916,0.501,1.297,0.838,2.059,8.417,0.75,1.0
2021-03-27,0.684,0.917,1.117,1.532,2.005,2.078,2.055,2.056,1.702,0.664,0.916,0.501,1.297,0.838,2.059,8.417,0.75,1.0
2021-03-28,0.684,0.917,1.117,1.532,2.005,2.078,2.055,2.056,1.702,0.664,0.916,0.501,1.297,0.838,2.059,8.417,0.75,1.0
2021-03-29,0.686,0.921,1.119,1.53,1.98,2.085,2.065,2.065,1.694,0.664,0.919,0.501,1.298,0.838,2.059,8.417,0.75,1.0
2021-03-30,0.692,0.943,1.155,1.607,2.063,2.145,2.13,2.13,1.763,0.669,0.928,0.504,1.318,0.843,2.078,8.436,0.75,1.0
2021-03-31,0.69,0.911,1.133,1.601,2.057,2.169,2.15,2.152,1.755,0.667,0.912,0.504,1.303,0.839,2.06,8.418,0.75,1.0
2021-04-01,0.693,0.915,1.138,1.58,2.023,2.157,2.142,2.143,1.733,0.669,0.899,0.504,1.307,0.837,2.063,8.421,0.75,1.0
2021-04-02,0.693,0.911,1.151,1.575,2.049,2.187,2.173,2.174,1.73,0.667,0.896,0.504,1.313,0.834,2.067,8.425,0.75,1.0
2021-04-03,0.693,0.911,1.151,1.575,2.049,2.187,2.173,2.174,1.73,0.667,0.896,0.504,1.313,0.834,2.067,8.425,0.75,1.0
2021-04-04,0.693,0.911,1.151,1.575,2.049,2.187,2.173,2.174,1.73,0.667,0.896,0.504,1.313,0.834,2.067,8.425,0.75,1.0
2021-04-05,0.697,0.948,1.202,1.636,2.094,2.246,2.235,2.236,1.781,0.673,0.922,0.505,1.358,0.833,2.095,8.453,0.75,1.0
2021-04-06,0.684,0.928,1.181,1.606,2.069,2.23,2.221,2.224,1.755,0.664,0.902,0.494,1.343,0.819,2.078,8.438,0.75,1.0
2021-04-07,0.68,0.936,1.181,1.584,2.064,2.23,2.219,2.219,1.74,0.663,0.902,0.493,1.343,0.812,2.073,8.433,0.75,1.0
2021-04-08,0.671,0.918,1.152,1.543,2.012,2.15,2.145,2.146,1.716,0.661,0.902,0.489,1.326,0.8,2.051,8.413,0.75,1.0
2021-04-09,0.667,0.93,1.168,1.578,2.029,2.123,2.121,2.121,1.731,0.663,0.915,0.49,1.33,0.791,2.056,8.419,0.75,1.0
2021-04-10,0.667,0.93,1.168,1.578,2.029,2.123,2.121,2.121,1.731,0.663,0.915,0.49,1.33,0.791,2.056,8.419,0.75,1.0
2021-04-11,0.667,0.93,1.168,1.578,2.029,2.123,2.121,2.121,1.731,0.663,0.915,0.49,1.33,0.791,2.056,8.419,0.75,1.0
2021-04-12,0.657,0.912,1.14,1.55,2.003,2.112,2.108,2.107,1.712,0.659,0.906,0.488,1.318,0.784,2.031,8.394,0.75,1.0
2021-04-13,0.656,0.928,1.138,1.562,2.027,2.132,2.127,2.126,1.721,0.66,0.911,0.487,1.314,0.783,2.029,8.39,0.73,1.0
2021-04-14,0.648,0.905,1.102,1.524,1.99,2.104,2.093,2.093,1.688,0.654,0.895,0.485,1.284,0.777,2.003,8.363,0.73,0.99
